Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.97,43.97,43.75,43.94,26.84,1003200
1993-02-01,43.97,44.25,43.97,44.25,27.03,480500
1993-02-02,44.22,44.38,44.12,44.34,27.08,201300
1993-02-03,44.41,44.84,44.38,44.81,27.37,529400
1993-02-04,44.97,45.09,44.47,45.0,27.49,531500
1993-02-05,44.97,45.06,44.72,44.97,27.47,492100
1993-02-08,44.97,45.12,44.91,44.97,27.47,596100
1993-02-09,44.81,44.81,44.56,44.66,27.28,122100
1993-02-10,44.66,44.75,44.53,44.72,27.31,379600
1993-02-11,44.78,45.12,44.78,44.94,27.45,19500
1993-02-12,44.88,44.88,44.59,44.59,27.24,42500
1993-02-16,44.47,44.47,43.41,43.47,26.55,374800
1993-02-17,43.47,43.53,43.28,43.44,26.53,210900
1993-02-18,43.94,43.94,42.81,43.41,26.51,378100
1993-02-19,43.41,43.56,43.34,43.56,26.61,34900
1993-02-22,43.69,43.78,43.56,43.72,26.7,513600
1993-02-23,43.84,43.88,43.47,43.69,26.68,373700
1993-02-24,43.72,44.25,43.72,44.25,27.03,26300
1993-02-25,44.22,44.38,44.12,44.34,27.08,44500
1993-02-26,44.44,44.44,44.19,44.41,27.12,66200
1993-03-01,44.56,44.56,44.22,44.28,27.05,66500
1993-03-02,44.31,44.94,44.25,44.94,27.45,182400
1993-03-03,45.0,45.16,44.94,45.12,27.56,280100
1993-03-04,45.19,45.19,44.88,44.88,27.41,89500
1993-03-05,44.94,45.12,44.72,44.75,27.33,40000
1993-03-08,44.84,45.75,44.84,45.75,27.94,50800
1993-03-09,45.66,45.69,45.5,45.59,27.85,169300
1993-03-10,45.59,45.69,45.41,45.69,27.91,194400
1993-03-11,45.72,45.84,45.5,45.56,27.83,70900
1993-03-12,45.19,45.22,44.81,45.09,27.54,643600
1993-03-15,45.06,45.31,45.06,45.31,27.68,310800
1993-03-16,45.31,45.44,45.31,45.31,27.68,30800
1993-03-17,45.25,45.25,44.97,45.03,27.5,21800
1993-03-18,45.22,45.5,45.22,45.31,27.68,59300
1993-03-19,45.28,45.28,45.03,45.03,27.63,66900
